ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,ProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,Description,StartDate,EndDate,Status
1,AR-5381,0,0,0,Adjustable Race,0.0,False,,1000,750,0.0,NA,,0.0,0,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
2,BA-8327,0,0,0,Bearing Ball,0.0,False,,1000,750,0.0,NA,,0.0,0,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
3,BE-2349,0,0,0,BB Ball Bearing,0.0,False,,800,600,0.0,NA,,0.0,1,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
4,BE-2908,0,0,0,Headset Ball Bearings,0.0,False,,800,600,0.0,NA,,0.0,0,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
5,BL-2036,0,0,0,Blade,0.0,False,,800,600,0.0,NA,,0.0,1,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
6,CA-5965,0,0,0,LL Crankarm,0.0,False,Black,500,375,0.0,NA,,0.0,0,NA,0.0,L ,NA,NA,NA,2003-07-01,,Current
7,CA-6738,0,0,0,ML Crankarm,0.0,False,Black,500,375,0.0,NA,,0.0,0,NA,0.0,M ,NA,NA,NA,2003-07-01,,Current
8,CA-7457,0,0,0,HL Crankarm,0.0,False,Black,500,375,0.0,NA,,0.0,0,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
9,CB-2903,0,0,0,Chainring Bolts,0.0,False,Silver,1000,750,0.0,NA,,0.0,0,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
10,CN-6137,0,0,0,Chainring Nut,0.0,False,Silver,1000,750,0.0,NA,,0.0,0,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
11,CR-7833,0,0,0,Chainring,0.0,False,Black,1000,750,0.0,NA,,0.0,0,NA,0.0,NA,NA,NA,NA,2003-07-01,,Current
